🇨🇳｜央视频道,#genre#
CCTV1,http://111.13.42.235/PLTV/88888888/224/3221226346/1.m3u8
CCTV1,http://lsitv.f3322.net:4000/udp/239.11.0.65:5140
CCTV1,http://lsitv.f3322.net:4000/udp/239.11.0.66:5140
CCTV1,http://lsitv.f3322.net:4000/udp/239.11.0.130:5140
CCTV1,http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://219.140.56.34:3333/tsfile/live/0001_1.m3u8
CCTV1,http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.65.179/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://vl15191373.imwork.net:8880/udp/239.93.0.184:5140
CCTV1,http://vl15191373.imwork.net:8880/udp/239.93.0.69:5140
CCTV1,http://vl15191373.imwork.net:8880/udp/239.93.1.152:5140
CCTV1,http://vl15191373.imwork.net:8880/udp/239.93.1.174:5140
CCTV2,http://111.13.42.235/PLTV/88888888/224/3221226472/1.m3u8
CCTV2,http://lsitv.f3322.net:4000/udp/239.11.0.108:5140
CCTV2,http://39.134.32.103:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://39.134.32.108:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://219.140.56.34:3333/tsfile/live/0002_1.m3u8
CCTV2,http://vl15191373.imwork.net:8880/udp/239.93.1.160:6000
CCTV2,http://vl15191373.imwork.net:8880/udp/239.93.1.23:6000
CCTV3,http://lsitv.f3322.net:4000/udp/239.11.0.101:5140
CCTV3,http://39.134.32.108:6610/270000001111/1110000303/index.m3u8?IASHttpSessionId=OTT
CCTV3,http://219.140.56.34:3333/tsfile/live/0003_1.m3u8
CCTV3,http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
CCTV3,http://vl15191373.imwork.net:8880/udp/239.93.1.11:2223
CCTV3,http://vl15191373.imwork.net:8880/udp/239.93.1.150:2223
CCTV4,http://lsitv.f3322.net:4000/udp/239.11.0.109:5140
CCTV4,http://vl15191373.imwork.net:8880/udp/239.93.1.105:5140
CCTV4,http://vl15191373.imwork.net:8880/udp/239.93.1.192:5140
CCTV4,http://219.140.56.34:3333/tsfile/live/1004_1.m3u8
CCTV4,http://111.20.33.70/PLTV/88888893/224/3221226223/index.m3u8
CCTV4,http://39.135.138.58:18890/PLTV/88888888/224/3221225621/index.m3u8
CCTV4,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8
CCTV4,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000204803.m3u8
CCTV4,http://111.20.33.70/TVOD/88888893/224/3221226223/index.m3u8
CCTV4,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231726/index.m3u8
CCTV5,http://lsitv.f3322.net:4000/udp/239.11.0.100:5140
CCTV5,http://39.134.32.108:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
